"Price" "SQFT" "Age" "Features" "NE" "Corner" "Tax"
2050 2650 3 7 1 0 20
2150 2664 28 5 1 0 12
2150 2921 17 6 1 0 19
1999 2580 20 4 1 0 21
1900 2580 20 4 1 0 18
1800 2774 10 4 1 0 22
1560 1920 2 5 1 0 9
1449 1710 2 3 1 0 2
1375 1837 20 5 1 0 11
1270 1880 30 6 1 0 93
1250 2150 5 3 1 0 96
1235 1894 4 5 1 0 6
1170 1928 8 8 1 0 47
1155 1767 6 4 1 0 76
1110 1630 5 3 1 1 86
1139 1680 7 4 1 1 72
995 1500 5 4 1 0 71
900 1400 6 2 1 1 69
960 1573 7 6 1 0 74
1695 2931 16 3 1 1 8
1553 2200 16 4 1 0 3
1020 1478 27 3 1 1 49
1020 1713 18 4 1 1 47
850 1190 22 1 1 0 47
720 1121 25 4 1 0 28
749 1733 23 6 1 0 56
2150 2848 20 6 1 0 17
1350 2253 13 4 1 0 94
1299 2743 14 5 1 1 15
1250 2180 7 4 1 1 7
1239 1706 4 4 1 0 78
1125 1710 6 4 1 0 77
1080 2200 15 4 1 0 4
1050 1680 3 4 1 0 87
1049 1900 19 3 1 0 60
934 1543 11 3 1 0 81
875 1173 28 4 1 0 33
805 1258 29 4 1 1 82
759 997 20 4 1 0 34
729 1007 9 6 1 0 40
710 1083 12 4 1 0 39
975 1500 29 3 0 1 63
939 1428 21 2 0 0 64
2100 2116 14 3 0 0 14
580 1051 5 2 0 0 29
1844 2250 21 6 0 0 91
699 1400 24 1 0 1 36
1160 1720 26 4 0 0 86
1109 1740 20 3 0 0 80
1129 1700 28 4 0 0 68
1050 1620 28 4 0 0 77
1045 1630 28 4 0 0 72
1050 1920 30 4 0 0 95
1020 1606 26 4 0 0 79
1000 1535 29 5 0 1 57
1030 1540 28 2 0 1 83
975 1739 3 3 0 0 88
940 1305 26 3 0 0 52
920 1415 29 4 0 0 85
945 1580 31 3 0 0 78
874 1236 17 4 0 0 65
872 1229 28 3 0 0 66
870 1273 20 4 0 0 51
869 1165 29 4 0 0 61
766 1200 29 4 0 1 50
739 970 20 4 0 1 41
